year,state,total_revenue,instruction_expense,property_expense,total_edu_expense,per_pupil_expense
2008,Wisconsin,11688234870.33106,6347127246.658705,221486596.76063967,11300999027.808182,12054.805079353284
2008,Wyoming,1785399840.9511619,785722110.0138457,71958433.38038021,1681777602.642504,15998.75739771392
2008,American Samoa,73153826.60043287,34514426.33365536,1425582.69940038,75103706.37101667,3277.3374267892223
2008,Guam,271985318.96192807,144309214.21407506,4686982.679526064,260233459.1380566,7905.740486662982
2008,Northern Mariana Islands,70242232.22728899,44485627.35748689,902877.4778242756,59235926.537349686,4873.645996572272
2008,Puerto Rico,3751536533.9426394,1948621785.7925806,90836571.37676206,4324817411.544015,6313.89087936536
2008,Virgin Islands,259951987.131164,124435666.35037135,11015640.527902538,245796217.02585194,12147.328550925906
2009,Alabama,8098512366.163673,4360214918.378844,96884802.81919204,8643232257.61481,9694.834280333927
2009,Alaska,2531624848.058745,1256965821.1846814,114403229.64237869,2595196422.64339,18154.60081943907
2009,Arizona,10954852665.4136,5489319802.360912,474555363.0493015,11325849191.419262,9176.866559148306
2009,Arkansas,5396660183.065275,2754407728.704783,214558831.93146172,5305845325.386255,10075.199345567431
2009,California,79079029347.3148,40209545225.58753,1197007883.6465924,78490395820.20146,10133.372826132554
2009,Colorado,9345624464.511786,4633592044.752266,333101322.8666011,9276754973.997316,10028.213072803293
2009,Connecticut,11043737029.427744,6087670956.571747,239309797.54775167,10877600824.95673,17220.468968056794
2009,Delaware,1963503969.2561934,1035276861.5164889,13673721.355663592,2008731539.1184456,13730.060134149353
2009,District of Columbia,1847024015.7183285,698212037.341447,141173895.71855205,2071645946.9113998,21161.722276343942
2009,Florida,29447069300.267605,15779553708.040497,1165882960.518139,31728979108.66593,9826.843332385555
2009,Georgia,20156526008.75152,11201867912.996225,426877668.2631854,20951912372.731327,10741.95693050616
2009,Hawaii,2910713072.5170903,1548831041.2795322,13367103.482974965,2595377115.0676293,14325.219589161778
2009,Idaho,2510167422.1496434,1333813932.0928278,116256696.0253849,2589088249.6954417,8080.520194651738
2009,Illinois,29660320597.08187,15453035756.028885,888376983.6675352,29696313466.995525,13290.402867570629
2009,Indiana,14062076746.466293,6324069820.275267,608570207.6240742,12029121783.465178,10462.276735481526
2009,Iowa,6175174978.001599,3241938362.165109,161190956.31734854,6081699634.499387,11178.25803474459
2009,Kansas,6437621309.614276,3247499350.8799787,222111982.67549187,5841098101.528012,12267.892074560565
2009,Kentucky,7429568016.597365,3900613371.819113,188703495.3665195,7481945504.366948,10623.372527815714
2009,Louisiana,9061617072.0531,4719368038.604021,168175426.6085104,9129393381.064161,12019.53606137869
2009,Maine,2881282749.5898232,1582706738.8291764,48260753.03845025,2835544336.0203137,14484.077939935769
2009,Maryland,14652453936.39934,7996030656.980246,193194230.76036766,14102479274.7227,15666.565804499922
2009,Massachusetts,16895457805.401806,10149574828.483221,278643141.98020387,16553151775.490723,16535.811850636488
2009,Michigan,21910856761.88419,11012386816.071154,564008929.9589162,21285002685.14801,12267.892074560565
2009,Minnesota,11793893262.793434,6760034920.083557,353322197.61071986,12104717469.679192,12337.252762926675
2009,Mississippi,4878407830.226455,2603862037.1621957,178890121.43232635,4836879943.81956,8800.976377035196
2009,Missouri,11235036444.766352,5933832464.796409,343520378.9434643,11357161527.12768,10838.166917594634
2009,Montana,1784580226.908263,965280170.3184066,50099239.75021092,1797821773.0019252,11273.349301052964
2009,Nebraska,3866068634.4941382,2217930627.897449,179860980.8869193,3923110070.314673,11938.988165211595
2009,Nevada,4979136340.614235,2397108908.3095922,83001678.18918881,4767870821.289642,9307.756890419834
2009,New Hampshire,3039692644.3583016,1790128883.9639735,51342417.09837464,2920258819.353944,13950.448127828766
2009,New Jersey,28343307228.82461,15549848054.55432,156737088.36680853,28060513881.10626,18838.13921607928
2009,New Mexico,4273643264.5777044,2055940182.249486,29829839.373534635,4377390995.387625,10307.893267827927
2009,New York,62154101342.18352,37638458579.33892,709901772.279411,60016082527.073296,20991.67671776896
2009,North Carolina,14904656446.120707,8946741585.620611,367855597.7124086,15926086393.761402,9656.797773810578
2009,North Dakota,1233365842.4932296,606230667.1306021,48380355.47705057,1155675811.4127214,10251.957228823
2009,Ohio,24987720808.224033,12361240349.28169,577884266.0548483,25080388348.062794,12453.599724056923
2009,Oklahoma,6409833867.307812,3253660948.3387804,157274135.87089872,6228381591.133982,8693.579182145737
2009,Oregon,6874770035.026163,3601118917.8986983,75879683.5525294,7110776203.124011,11301.317320555429
2009,Pennsylvania,28675131996.189854,14768247569.281982,434029020.3705562,27729989452.127438,13873.256394001966
2009,Rhode Island,2497150947.014846,1432832970.0053697,15201463.233777855,2485670210.374299,17472.18114357896
2009,South Carolina,8617463775.175076,4281144456.335103,418197708.38781655,8971298400.601677,10456.683131581032
2009,South Dakota,1389330247.1980357,701183463.7744212,65251190.63970318,1399500855.526613,9838.030540186543
2009,Tennessee,9267402249.006418,5453627317.926478,208114606.44837952,9475338753.987886,8766.296032852142
2009,Texas,52537498868.14821,27313981278.31985,1275801533.8953886,56254333844.59322,9757.482644019447
2009,Utah,5082002102.166587,2631533745.566518,439816955.02031815,5185274158.494413,7360.06401226828
2009,Vermont,1757517575.8272047,986457182.1516522,33144054.159459673,1664622987.1312406,17280.879890182114
2009,Virginia,16741034073.86861,9167162850.056023,823507102.2934039,16782826748.059504,12583.371334548352
2009,Washington,13316704174.343513,6692409187.533335,405325534.80900264,13210917765.094395,11052.961307373555
2009,West Virginia,3670953320.7480946,1999320533.249789,59569873.43644685,3493942683.787957,11885.289567766866
2009,Wisconsin,12118101141.416922,6640209982.46343,226284570.6602917,11702393958.3165,12527.435295543426
2009,Wyoming,1874859208.3838499,834441026.1161711,91089178.08278759,1843881993.3161552,16816.61076644122
